Teil der Merit-Order?;MaStR-Nr. ;ÜNB;Status;Anlagenbetreiber;Anzeige-Name;PLZ der Einheit;Ort der Einheit;"Straße und Hausnummer
der Einheit";Bundesland der Einheit;Datum der erstmaligen Inbetriebnahme der Einheit;Energieträger;Hauptbrennstoff;Auswertung Energieträger;Wärmeauskopplung (KW) ja/nein;Technologie der Stromerzeugung;Angenommener Hauptenergieträger ;Zuordnung Kraftwerkstyp;Effizienz;Quelle Effizienz;Bruttoleistung [MW];"Netto-Nennleistung
(elektrische Wirkleistung) [MW]";"Mittlere verfügbare
Netto-Nennleistung [MW]";Brennstoffkosten (inkl. Transport) [EUR/MWHth];Grenzkosten [EUR/MWHel]
Ja;SEE914857304191;Amprion;In Betrieb;RWE Generation SE;Dormagen GT1;41540;Dormagen;Alte Heerstraße 1;Nordrhein-Westfalen;36730;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,54;OPSD (2020);189;184;160,08;40,69;102,665463
Ja;SEE908089235248;Amprion;In Betrieb;RWE Generation SE;Dormagen GT2;41540;Dormagen;Alte Heerstraße 1;Nordrhein-Westfalen;36730;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,54;OPSD (2020);189;184;160,08;40,69;102,665463
Ja;SEE991220769276;Amprion;In Betrieb;RWE Generation SE;Dormagen DT;41540;Dormagen;Alte Heerstraße 1;Nordrhein-Westfalen;36730;Erdgas;;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,54;OPSD (2020);194;194;168,78;40,69;102,665463
Ja;SEE911671792326;Amprion;In Betrieb;RWE Generation SE;Emsland D GT1;49808;Lingen;Schüttorfer Straße 100;Niedersachsen;40429;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,592;OPSD (2020);297,93;293,5;255,345;40,69;93,27930743
Ja;SEE929022761297;Amprion;In Betrieb;RWE Generation SE;Emsland D GT2;49808;Lingen;Schüttorfer Straße 100;Niedersachsen;40429;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,592;OPSD (2020);297,93;293,5;255,345;40,69;93,27930743
Ja;SEE979958390276;Amprion;In Betrieb;RWE Generation SE;Emsland D DT;49808;Lingen;Schüttorfer Straße 100;Niedersachsen;40429;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,592;OPSD (2020);345,135;340;295,8;40,69;93,77930743
Ja;SEE985908351792;Amprion;In Betrieb;RWE Generation SE;Emsland B DT;49808;Lingen;Schüttorfer Straße 100;Niedersachsen;27030;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,46;OPSD (2020);372,6;359;312,33;40,69;120,2594565
Ja;SEE994418588468;Amprion;In Betrieb;RWE Generation SE;Emsland C DT;49808;Lingen;Schüttorfer Straße 100;Niedersachsen;27395;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,46;OPSD (2020);372,6;359;312,33;40,69;120,2594565
Ja;SEE909886576275;Amprion;In Betrieb;RWE Power AG;Weisweiler G VGT;52249;Eschweiler;Am Kraftwerk 17;Nordrhein-Westfalen;38933;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,5;OPSD (2020);202;200;174;40,69;110,7587
Ja;SEE999117793854;Amprion;In Betrieb;RWE Power AG;Weisweiler H VGT;52249;Eschweiler;Am Kraftwerk 17;Nordrhein-Westfalen;39070;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,5;OPSD (2020);202;200;174;40,69;110,7587
Ja;SEE947996339434;Amprion;In Betrieb;RZR II Herten GmbH;RZR II Turbine4;45699;Herten;Im Emscherbruch 11;Nordrhein-Westfalen;43503;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Gegendruckmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);12,3;12,26;10,421;0;1
Ja;SEE923271533315;Amprion;In Betrieb;RZR II Herten GmbH;RZR II Turbine3;45699;Herten;Im Emscherbruch 11;Nordrhein-Westfalen;39814;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);23,585;23,5;19,975;0;1
Ja;SEE969775213346;Amprion;In Betrieb;Shell Deutschland GmbH;Shell Energy and Chemicals Park, Kraftwerk Godorf;50997;Köln;Godorfer Hauptstr. 150;Nordrhein-Westfalen;42370;Mineralölprodukte;Raffineriegas;Mineralölprodukte;Ja;Sonstige;Öl;Öl;0,38;OPSD (2020);107;92;78,2;95,89;304,4421053
Ja;SEE991324265957;Amprion;In Betrieb;Smurfit Westrock Zülpich Paper GmbH;DT06;53909;Zülpich;Zum Mühlengraben 1;Nordrhein-Westfalen;40473;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine ohne Entnahme;Erdgas;GuD;0,585;Annahme basierend auf DIW (2014);15,552;14,383;12,51321;40,69;94,88350427
Ja;SEE986520256656;Amprion;In Betrieb;Solvay GmbH;Solvay Rb TA7;47495;Rheinberg;Xantener Straße 237;Nordrhein-Westfalen;32509;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,3421;OPSD (2020);12,8;12,8;10,88;95,59;323,8029816
Ja;SEE993292613167;Amprion;In Betrieb;Solvay GmbH;Solvay Rb TA8;47495;Rheinberg;Xantener Straße 237;Nordrhein-Westfalen;44378;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,3421;OPSD (2020);15,94;15,94;13,549;95,59;323,8029816
Ja;SEE964450365167;Amprion;In Betrieb;Solvay GmbH;Solvay Rb TA9;47495;Rheinberg;Xantener Straße 237;Nordrhein-Westfalen;27760;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,3421;OPSD (2020);27,2;27,2;23,12;95,59;323,8029816
Ja;SEE970931306376;Amprion;In Betrieb;Solvay GmbH;Solvay Rb TA10;47495;Rheinberg;Xantener Straße 237;Nordrhein-Westfalen;30317;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,3421;OPSD (2020);27,2;27,2;23,12;95,59;323,8029816
Ja;SEE952058615067;Amprion;In Betrieb;Solvay GmbH;Solvay Rb TA1;47495;Rheinberg;Xantener Straße 237;Nordrhein-Westfalen;35430;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,3421;OPSD (2020);54;54;46,98;40,69;161,188249
Ja;SEE982512881400;Amprion;In Betrieb;Stadtwerke Augsburg Energie GmbH;HKW, Dampfturbine 2;86152;Augsburg;Franziskanergasse 9;Bayern;28109;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3586;OPSD (2020);20,9;20,4;17,748;40,69;153,8406302
Ja;SEE918373264410;Amprion;In Betrieb;Stadtwerke Augsburg Energie GmbH;BHKW GT-Ost;86167;Augsburg;Beim Grenzgraben 10;Bayern;38001;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,3904;OPSD (2020);31;30,7;26,709;40,69;141,4317367
Ja;SEE942845579245;Amprion;In Betrieb;Stadtwerke Bochum Holding GmbH;KWK Hiltrop;44805;Bochum;In der Grume 5;Nordrhein-Westfalen;27626;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,3993;OPSD (2020);45;43,412;37,76844;40,69;137,8127974
Ja;SEE964745752825;Amprion;In Betrieb;Stadtwerke Duisburg AG;HKW III  Block A;47249;Duisburg;Wanheimer Str. 439;Nordrhein-Westfalen;27364;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,3872;OPSD (2020);40,8;40,2;34,974;40,69;142,5881973
Ja;SEE915885358156;Amprion;In Betrieb;Stadtwerke Duisburg AG;HKW III  Block B;47249;Duisburg;Wanheimer Str. 439;Nordrhein-Westfalen;38243;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,5625;OPSD (2020);75,3;75,2;65,424;40,69;98,61884444
Ja;SEE922855765289;Amprion;In Betrieb;Stadtwerke Duisburg AG;HKW III  Block B;47249;Duisburg;Wanheimer Str. 439;Nordrhein-Westfalen;38253;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,5625;OPSD (2020);75,3;75,2;65,424;40,69;98,61884444
Ja;SEE916495905242;Amprion;In Betrieb;Stadtwerke Duisburg AG;HKW III  Block B;47249;Duisburg;Wanheimer Str. 439;Nordrhein-Westfalen;38408;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,5625;OPSD (2020);88,3;84;71,4;95,59;197,3216
Ja;SEE972458947407;Amprion;In Betrieb;Stadtwerke Düsseldorf AG;SWD KWL GTE2;40221;Düsseldorf;Auf der Lausward 75;Nordrhein-Westfalen;27446;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,315;OPSD (2020);65,5;64,7;56,289;40,69;174,4265079
Ja;SEE989503748513;Amprion;In Betrieb;Stadtwerke Düsseldorf AG;SWD KWL GTE1;40221;Düsseldorf;Auf der Lausward 75;Nordrhein-Westfalen;27352;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,3124;OPSD (2020);67,5;66,7;58,029;40,69;175,8698784
Ja;SEE957083466325;Amprion;In Betrieb;Stadtwerke Düsseldorf AG;SWD KWL AGuD;40221;Düsseldorf;Auf der Lausward 75;Nordrhein-Westfalen;36735;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,54;OPSD (2020);102;100;87;40,69;102,165463
Ja;SEE975361659900;Amprion;In Betrieb;Stadtwerke Düsseldorf AG;SWD KWL GuD F;40221;Düsseldorf;Auf der Lausward 75;Nordrhein-Westfalen;42391;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,612;OPSD (2020);605;595;517,65;40,69;90,26364379
Ja;SEE991633857065;Amprion;In Betrieb;Stadtwerke Münster GmbH;GUD-1-1 (GT1);48155;Münster;Am Mittelhafen 11;Nordrhein-Westfalen;38716;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,5625;OPSD (2020);32;31;26,97;40,69;98,61884444
Ja;SEE924909675933;Amprion;In Betrieb;Stadtwerke Münster GmbH;GUD-1-2 (GT2);48155;Münster;Am Mittelhafen 11;Nordrhein-Westfalen;38716;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,5625;OPSD (2020);32;31;26,97;40,69;98,61884444
Ja;SEE953872640426;Amprion;In Betrieb;Stadtwerke Münster GmbH;Dampfturbine;48155;Münster;Am Mittelhafen 11;Nordrhein-Westfalen;38700;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,5625;OPSD (2020);38;35,2;29,92;95,59;197,3216
Ja;SEE943297204990;Amprion;In Betrieb;Stadtwerke Saarbrücken GmbH;ZF-SBR-GuD-Heizkraftwerk;66117;Saarbrücken;Untertürkheimer Straße ;Saarland;40997;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,3982;OPSD (2020);39,0292;38,6102;33,590874;40,69;138,1907333
Ja;SEE903983424590;Amprion;In Betrieb;Statkraft Markets GmbH;Kraftwerk Knapsack II;50354;Hürth;Industriestraße 300;Nordrhein-Westfalen;41426;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,592;OPSD (2020);450;430;374,1;40,69;93,77930743
Ja;SEE915851127786;Amprion;In Betrieb;STAWAG – Stadt- und Städteregionswerke Aachen AG;BHKW Schwarzer Weg;52070;Aachen;Schwarzer Weg 19 b;Nordrhein-Westfalen;45021;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Verbrennungsmotor;Erdgas;GuD;0,63;Annahme basierend auf DIW (2014);22,535;21,505;18,70935;40,69;88,21325397
Ja;SEE999705546763;Amprion;In Betrieb;Südzucker AG;Dampfturbine III Südzucker Rain;86641;Rain;Donauwörther Straße 50;Bayern;22569;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,33;eigene Annahme;11;10,36;8,806;95,59;335,6390909
Ja;SEE969051180959;Amprion;In Betrieb;Südzucker AG;Dampfturbine I Südzucker Offstein;67283;Obrigheim;Wormser Straße 11;Rheinland-Pfalz;29587;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine ohne Entnahme;Sonstige;Sonstige;0,3421;OPSD (2020);14;12,0932;10,27922;95,59;323,8029816
Ja;SEE957723162266;Amprion;In Betrieb;SWK Stadtwerke Kaiserslautern Versorgungs-AG;HKW Karcherstraße;67655;Kaiserslautern;Karcherstraße 28;Rheinland-Pfalz;1;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3729;OPSD (2020);62,98;60,8;52,896;40,69;147,9986592
Ja;SEE942253705168;Amprion;In Betrieb;Technische Werke Ludwigshafen am Rhein;FHKW DT 2;67063;Ludwigshafen;Industriestraße 3;Rheinland-Pfalz;32563;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,33;OPSD (2020);13,2;12,07;10,2595;95,59;335,6390909
Ja;SEE987970110314;Amprion;In Betrieb;Trianel Gaskraftwerk Hamm;Trianel Gaskraftwerk Hamm Block 10;59071;Hamm;Trianelstraße 1;Nordrhein-Westfalen;39409;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,577;OPSD (2020);453;445;387,15;40,69;95,67824957
Ja;SEE900628853036;Amprion;In Betrieb;Trianel Gaskraftwerk Hamm;Trianel Gaskraftwerk Hamm Block 20;59071;Hamm;Trianelstraße 1;Nordrhein-Westfalen;39439;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,577;OPSD (2020);453;445;387,15;40,69;95,67824957
Ja;SEE970579995963;Amprion;In Betrieb;Uniper Kraftwerke GmbH;Scholven 1 DT;45896;Gelsenkirchen;Glückaufstraße 56;Nordrhein-Westfalen;45140;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,407;Annahme basierend auf DIW (2014);30,802;30;26,1;40,69;135,7244472
Ja;SEE939692270074;Amprion;In Betrieb;Uniper Kraftwerke GmbH;Scholven 1 GT1;45896;Gelsenkirchen;Glückaufstraße 56;Nordrhein-Westfalen;45071;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,432;Annahme basierend auf DIW (2014);55;54;46,98;40,69;127,4568287
Ja;SEE938587513135;Amprion;In Betrieb;Uniper Kraftwerke GmbH;Scholven 1 GT2;45896;Gelsenkirchen;Glückaufstraße 56;Nordrhein-Westfalen;45084;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,432;Annahme basierend auf DIW (2014);55;54;46,98;40,69;127,4568287
Ja;SEE933094075404;Amprion;In Betrieb;UPM GmbH;UPM Schongau HKW 3 DT;86956;Schongau;Friedrich-Haindl-Straße 10;Bayern;41993;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Sonstige;Erdgas;GuD;0,4004;OPSD (2020);30,17;29,67;25,8129;40,69;137,9369381
Ja;SEE912975333499;Amprion;In Betrieb;UPM GmbH;UPM Schongau HKW 3 GT;86956;Schongau;Friedrich-Haindl-Straße 10;Bayern;41993;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,4004;OPSD (2020);47;44,328;38,56536;40,69;137,9369381
Ja;SEE960352714492;Amprion;In Betrieb;WSW Energie & Wasser AG;GT11;42275;Wuppertal;Am Clef 32;Nordrhein-Westfalen;38716;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,5625;OPSD (2020);28,5;27,6;24,012;40,69;98,61884444
Ja;SEE978399772948;Amprion;In Betrieb;WSW Energie & Wasser AG;GT12;42275;Wuppertal;Am Clef 32;Nordrhein-Westfalen;38716;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gasturbinen mit Abhitzekessel;Erdgas;GuD;0,5625;OPSD (2020);28,5;27,6;24,012;40,69;98,61884444
Ja;SEE968471468838;Amprion;In Betrieb;WSW Energie & Wasser AG;DT23;42275;Wuppertal;Am Clef 32;Nordrhein-Westfalen;38716;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,5625;OPSD (2020);30;29,2;25,404;40,69;98,61884444
Ja;SEE942369834141;Amprion;In Betrieb;Zanders Paper GmbH;Kraftwerk Zanders Paper GmbH;51465;Bergisch Gladbach;An der Gohrsmühle 25;Nordrhein-Westfalen;32509;Erdgas;Erdgas, Erdölgas;Erdgas;Ja;Gegendruckmaschine mit Entnahme;Erdgas;GuD;0,3729;Annahme basierend auf DIW (2014);21,56;21,06;18,3222;40,69;147,9986592
Ja;SEE957686843929;Amprion;In Betrieb;Zweckverband Abfallverwertung Südhessen (ZAS);Turbine 1;64293;Darmstadt;Otto-Röhm-Straße 19;Hessen;33520;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);10,56;10,222;8,6887;0;1
Ja;SEE913203719740;Amprion;In Betrieb;AG der Dillinger Hüttenwerke;GKW;66763;Dillingen;Werkstraße 1;Saarland;39925;andere Gase;Hochofengas, Konvertergas;Sonstige Energieträger (nicht erneuerbar);Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,585;Annahme basierend auf DIW (2014);95,558;89,337;75,93645;95,59;189,7707692
Ja;SEE959496642280;Amprion;In Betrieb;AVA Velsen GmbH;AVA Velsen GmbH;66127;Saarbrücken;Alte Grube Velsen 16;Saarland;35649;nicht biogener Abfall;Abfall (Hausmüll, Siedl.abf.);Abfall;Ja;Kondensationsmaschine mit Entnahme;Abfall;Abfall;0,33;OPSD (2020);21;16;13,6;0;1
Ja;SEE965067693100;Amprion;In Betrieb;DK Recycling und Roheisen GmbH;Kraftwerk DK;47053;Duisburg;Werthauser Str. 182;Nordrhein-Westfalen;40575;Erdgas;Hochofengas, Konvertergas;Erdgas;Ja;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,585;Annahme basierend auf DIW (2014);22,1;20,85;18,1395;40,69;94,88350427
Ja;SEE939242219362;Amprion;In Betrieb;Hüttenwerke Krupp Mannesmann GmbH;Huckingen A;47259;Duisburg;Ehinger Str. 200;Nordrhein-Westfalen;27638;andere Gase;Hochofengas, Konvertergas;Sonstige Energieträger (nicht erneuerbar);Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,45;Annahme basierend auf DIW (2014);320;303;257,55;95,59;246,402
Ja;SEE992213654456;Amprion;In Betrieb;Hüttenwerke Krupp Mannesmann GmbH;Huckingen B;47259;Duisburg;Ehinger Str. 200;Nordrhein-Westfalen;28095;andere Gase;Hochofengas, Konvertergas;Sonstige Energieträger (nicht erneuerbar);Ja;Kondensationsmaschine mit Entnahme;Sonstige;Sonstige;0,45;Annahme basierend auf DIW (2014);320;303;257,55;95,59;246,402
Ja;SEE997020557907;Amprion;In Betrieb;KG Deutsche Gasrusswerke GmbH u Co;DGW TG 15;44147;Dortmund;Weidenstraße 70;Nordrhein-Westfalen;32843;Wärme;Dampf (zum Beispiel Prozesswärme);Wärme;Ja;Gegendruckmaschine mit Entnahme;Sonstige;Sonstige;0,37;Annahme basierend auf DIW (2014);18,24;16,616;14,1236;95,59;299,4618919
Ja;SEE910950875330;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT1;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE960934136643;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT2;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE902280549463;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT3;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE920753145547;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT4;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE927542617698;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT5;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE915847711449;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT6;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE912980761904;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT7;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE918332839635;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT8;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE922908994215;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT9;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE931497805147;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT10;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Ja;SEE976107471893;Amprion;In Betrieb;RWE Generation SE;bnBm GasKW BIB GT11;68647;Biblis;Bei den Münchäckern 50;Hessen;44991;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen ohne Abhitzekessel;Erdgas;Gasturbine;0,395;https://www.gevernova.com/gas-power/resources/case-studies/rwe-generation/de;34,8;34,4;29,928;40,69;139,3021519
Nein;SEE923304040681;Amprion;Kapazitätsreserve;RWE Generation SE;Gersteinwerk F GT (F1);59368;Werne;Hammer Straße 2;Nordrhein-Westfalen;26665;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,42;https://de.wikipedia.org/wiki/Gersteinwerk;72;55;47,85;40,69;131,069881
Nein;SEE932787342328;Amprion;Kapazitätsreserve;RWE Generation SE;Gersteinwerk G GT (G1);59368;Werne;Hammer Straße 2;Nordrhein-Westfalen;26665;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Gasturbinen mit nachgeschalteter Dampfturbine;Erdgas;Gasturbine;0,42;https://de.wikipedia.org/wiki/Gersteinwerk;72;55;47,85;40,69;131,069881
Nein;SEE942237774470;Amprion;Kapazitätsreserve;RWE Generation SE;Gersteinwerk F DT (F2);59368;Werne;Hammer Straße 2;Nordrhein-Westfalen;26299;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,42;https://de.wikipedia.org/wiki/Gersteinwerk;355;355;308,85;40,69;131,569881
Nein;SEE908672656115;Amprion;Kapazitätsreserve;RWE Generation SE;Gersteinwerk G DT (G2);59368;Werne;Hammer Straße 2;Nordrhein-Westfalen;26665;Erdgas;Erdgas, Erdölgas;Erdgas;Nein;Kondensationsmaschine mit Entnahme;Erdgas;GuD;0,42;https://de.wikipedia.org/wiki/Gersteinwerk;355;355;308,85;40,69;131,569881
Ja;SEE906830618081;Amprion;In Betrieb;RWE Power AG;Fab Fortuna;50129;Bergheim;Auenheimer Straße ;Nordrhein-Westfalen;17685;Braunkohle;Rohbraunkohlen;Braunkohle;Ja;Kondensationsmaschine mit Entnahme;Braunkohle;Braunkohle;0,2536;OPSD (2020);30;15;13,05;3,1;124,4026814
